domain,seller,rank_source,tier,home_status,final_host,redirected_offsite,site_loaded,blocked_automated_fetch,bot_wall_host,home_error,platform,platform_signals,checkout_shopify,ucp_status,ucp_kind,ucp_mcp_live,ucp_mcp_tools,agents_md,llms_txt,mcp_get_status,mcp_get_like,mcp_wellknown_json,custom_mcp_initialized,custom_mcp_tools,registry_remote_live,registry_remote_endpoints,registry_remote_tools,acp_checkout_endpoint,registry_match,registry_server_names,registry_search_hits,registry_search_domain_confirmed,agents_md_generator,llms_txt_generator,chatgpt_apps_checked,chatgpt_apps_match,product_url,product_status,product_discovery,product_jsonld,product_jsonld_offer,product_jsonld_gtin,product_jsonld_mpn,product_jsonld_gtin_or_mpn,product_jsonld_repaired,product_jsonld_malformed,robots_ai_bots_disallowed,tier_a_reasons,tier_b_reasons
kay.com,Kay Jewelers (Signet),NJ-SS;NJ-T50;SEMRUSH;SIMILARWEB;DC360,A,200,kay.com,False,True,False,,,,,False,200,none,False,,html_soft404,real,200,False,False,False,,False,,,False,False,,0,,,,True,False,https://www.kay.com/p/V-9000,200,homepage_link,False,False,False,False,False,False,False,,llms_txt:real,
zales.com,Zales (Signet),NJ-SS;NJ-T50;SEMRUSH,A,200,zales.com,False,True,False,,,,,False,200,none,False,,html_soft404,real,200,False,False,False,,False,,,False,False,,1,,,,True,False,https://www.zales.com/create-your-own-diamond-band/p/V-20575244,200,homepage_link,False,False,False,False,False,False,False,,llms_txt:real,
jared.com,Jared (Signet),NJ-SS;NJ-T50;DPRO;REVIEWED,A,200,jared.com,False,True,False,,,,,False,200,none,False,,html_soft404,real,200,False,False,False,,False,,,False,False,,10,,,,True,False,https://www.jared.com/create-your-own-diamond-band/p/V-JCUSTOMANNIV,200,homepage_link,False,False,False,False,False,False,False,,llms_txt:real,
bluenile.com,Blue Nile (Signet),NJ-SS;DPRO;REVIEWED;POMPEII3;BRIEF,B,200,bluenile.com,False,True,False,,,,,False,404,none,False,,html_soft404,html_soft404,404,False,False,False,,False,,,False,False,,0,,,,True,False,https://www.bluenile.com/engagement-rings/design-your-own-ring/petite-solitaire-engagement-ring-in-platinum-item-194357,200,collection_link_heuristic,True,True,False,True,True,False,False,,,schema_product_jsonld
jamesallen.com,James Allen (Signet),NJ-SS;DPRO;REVIEWED;BRIEF,B,200,bluenile.com,True,True,False,,,,,False,404,none,False,,html_soft404,html_soft404,404,False,False,False,,False,,,False,False,,0,,,,True,False,https://www.bluenile.com/engagement-rings/design-your-own-ring/petite-solitaire-engagement-ring-in-platinum-item-194357,200,collection_link_heuristic,True,True,False,True,True,False,False,,,schema_product_jsonld
diamondsdirect.com,Diamonds Direct (Signet),NJ-SS;DPRO;BRIEF,unreachable,200,diamondsdirect.com,False,True,False,,,bigcommerce,,False,404,none,False,,absent,html_soft404,404,False,False,False,,False,,,False,False,,0,,,,True,False,https://diamondsdirect.com/0-50-inch-huggie-diamond-hoop-earrings/,200,sitemap,False,False,False,False,False,False,False,,,
brilliantearth.com,Brilliant Earth,NJ-SS;NJ-T50;SIMILARWEB;DPRO;POMPEII3;BRIEF,A,200,brilliantearth.com,False,True,False,,,shopify-referenced,myshopify-host:brilliantearth-dev.myshopify.com,False,403,none,False,,absent,real,404,False,False,False,,False,,,False,False,,0,,,,True,False,https://www.brilliantearth.com/Peyton-4mm-Solitaire-with-1ct-Oval-Certified-Lab-Diamond-Gold-BE12148PSOV1CTLC/,200,sitemap,True,True,False,True,True,False,False,,llms_txt:real,schema_product_jsonld
helzberg.com,Helzberg Diamonds,NJ-SS;NJ-T50;DPRO;BRIEF,B,200,helzberg.com,False,True,False,,,salesforce-commerce-cloud,,False,404,none,False,,absent,absent,404,False,False,False,,False,,,False,False,,0,,,,True,False,https://www.helzberg.com/engagement-rings/lab-grown-diamond-oval-engagement-ring-in-14k-gold/MTR1160.html,200,collection_jsonld_itemlist,True,True,False,True,True,False,False,,,schema_product_jsonld
benbridge.com,Ben Bridge Jeweler,NJ-SS;NJ-T50,B,200,benbridge.com,False,True,False,,,salesforce-commerce-cloud,,False,404,none,False,,absent,absent,404,False,False,False,,False,,,False,False,,0,,,,True,False,https://www.benbridge.com/jewelry/platinum-solitaire-round-diamond-engagement-ring-60014152.html,200,collection_link_heuristic,True,True,False,True,True,False,False,,,schema_product_jsonld
reeds.com,Reeds Jewelers,NJ-SS;NJ-T50,unreachable,200,reeds.com,False,True,False,,,magento,,False,403,none,False,,absent,blocked,403,False,False,False,,False,,,False,False,,0,,,,True,False,https://www.reeds.com/ellaura-timeless-diamond-halo-split-shank-bridal-set-1ctw-plu19353077.html,404,collection_link_heuristic,False,False,False,False,False,False,False,,,
