rank_source,seller,domain,notes
NJ-SS;NJ-T50;SEMRUSH;SIMILARWEB;DC360,Kay Jewelers (Signet),kay.com,Signet Jewelers brand. Signet is #1 on National Jeweler Supersellers 2026 and named by Digital Commerce 360 as the largest online jewelry retailer.
NJ-SS;NJ-T50;SEMRUSH,Zales (Signet),zales.com,Signet Jewelers brand.
NJ-SS;NJ-T50;DPRO;REVIEWED,Jared (Signet),jared.com,Signet Jewelers brand.
NJ-SS;DPRO;REVIEWED;POMPEII3;BRIEF,Blue Nile (Signet),bluenile.com,Signet Jewelers brand since 2022.
NJ-SS;DPRO;REVIEWED;BRIEF,James Allen (Signet),jamesallen.com,Signet Jewelers brand since 2017. Kept as its own row; the probe records where the domain resolves (on 2026-09-02 and 2026-09-03 our fetches were forwarded either to bluenile.com with a jaRedirect parameter or to a bot-check host).
NJ-SS;DPRO;BRIEF,Diamonds Direct (Signet),diamondsdirect.com,Signet Jewelers brand since 2021.
NJ-SS;NJ-T50;SIMILARWEB;DPRO;POMPEII3;BRIEF,Brilliant Earth,brilliantearth.com,National Jeweler Supersellers #20 (USD 422M) and Top 50 #26.
NJ-SS;NJ-T50;DPRO;BRIEF,Helzberg Diamonds,helzberg.com,National Jeweler Supersellers #16 and Top 50 #6.
NJ-SS;NJ-T50,Ben Bridge Jeweler,benbridge.com,National Jeweler Supersellers #19 and Top 50 #27.
NJ-SS;NJ-T50,Reeds Jewelers,reeds.com,National Jeweler Supersellers #21 and Top 50 #19.
NJ-SS;NJ-T50;REVIEWED;BRIEF,Mejuri,mejuri.com,National Jeweler Supersellers #25 and Top 50 #23. Sells engagement rings in its fine line.
NJ-SS;NJ-T50,Diamonds International (Almod Diamonds),diamondsinternational.com,Almod Diamonds Ltd. is National Jeweler Supersellers #22 and Top 50 #18; consumer site is diamondsinternational.com.
NJ-SS;NJ-T50,Fred Meyer Jewelers,fredmeyerjewelers.com,National Jeweler Supersellers #29 and Top 50 #9.
NJ-SS;NJ-T50,Daniel's Jewelers (Sherwood Management),danielsjewelers.com,Sherwood Management Co. is National Jeweler Supersellers #30 and Top 50 #12.
